X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,strain_xx,strain_yy,strain_xy,magnitude
1.3636364,1.8585858,-0.0024801865,-0.009619333,-37.433956,-106.49831,-34.99446,0.000497963,-0.005487615,-0.0060657067,0.009933926
1.3636364,1.8989899,-0.0025347322,-0.009840809,-37.60582,-106.388435,-36.068047,0.00048467977,-0.0054764803,-0.0062517948,0.010162007
1.3636364,1.939394,-0.002588857,-0.010061793,-37.80875,-106.23985,-37.16576,0.00046850572,-0.0054621906,-0.006442065,0.010389508
1.3636364,1.979798,-0.0026424266,-0.010282166,-38.044533,-106.05268,-38.28439,0.000449335,-0.005444705,-0.006635961,0.010616278
1.3636364,2.020202,-0.0026953667,-0.01050172,-38.317074,-105.82877,-39.41983,0.0004269793,-0.0054240357,-0.0068327705,0.0108421
1.3636364,2.060606,-0.0027475208,-0.010720432,-38.63174,-105.57093,-40.5674,0.0004011855,-0.0054002116,-0.007031683,0.011066912
1.3636364,2.10101,-0.0027986988,-0.010938093,-38.99395,-105.281334,-41.722523,0.00037168158,-0.0053732246,-0.0072319037,0.0112904655
1.3636364,2.1414142,-0.0028487481,-0.01115457,-39.40781,-104.959755,-42.88155,0.00033821346,-0.0053429557,-0.0074328016,0.011512592
1.3636364,2.1818182,-0.002897568,-0.011369817,-39.874268,-104.60203,-44.04251,0.0003006142,-0.005309126,-0.0076340353,0.011733228
1.3636364,2.2222223,-0.0029447488,-0.011583589,-40.390884,-104.19942,-45.205196,0.00025880476,-0.0052712685,-0.007835567,0.011952032
1.3636364,2.2626262,-0.0029902607,-0.011795662,-40.95325,-103.73967,-46.370583,0.00021273414,-0.0052287555,-0.008037567,0.012168785
1.3636364,2.3030303,-0.0030336902,-0.012006,-41.55691,-103.207954,-47.539967,0.00016228785,-0.005180803,-0.008240261,0.012383347
1.3636364,2.3434343,-0.0030749626,-0.012214251,-42.200397,-102.59046,-48.713688,0.0001071948,-0.0051266113,-0.008443706,0.0125953695
1.3636364,2.3838384,-0.0031137094,-0.012420192,-42.886646,-101.87632,-49.889595,4.6994453e-05,-0.005065444,-0.008647529,0.0128045445
