X1,Y1,sigma_xx,sigma_yy,sigma_zz,sigma_xy,,,X,Y,ux,uy,|u|
0.042058458,3.119955586,-36.49513028,-9.537396437,-13.80975802,-1.1577359,,,0,3.428571429,0,-0.006460792,0.006460792
0.042181601,2.404775575,-61.61124224,-35.3198925,-29.07934042,-1.663720621,,,0,3.619047619,0,-0.006475328,0.006475328
0.042181601,2.356748953,-62.06946437,-37.20944909,-29.78367404,-1.654219788,,,0.036491252,0.365569135,-2.06707E-05,-0.001510171,0.001510312
0.042201917,1.45015871,-58.81645348,-66.97392033,-37.73711214,-1.033641973,,,0.036491252,0.365569135,-2.06707E-05,-0.001510171,0.001510312
0.042201917,1.402132088,-58.34432799,-68.12716951,-37.94144925,-0.994337783,,,0.036491252,0.317950087,-1.83626E-05,-0.001321996,0.001322124
0.042327368,3.359293887,-17.69743266,-4.090302007,-6.536320399,-0.748636681,,,0.036491252,0.27033104,-1.59648E-05,-0.001131381,0.001131494
0.042327368,3.311267266,-21.94099061,-4.990945395,-8.079580801,-0.836162254,,,0.036491252,0.222711992,-1.3465E-05,-0.000938282,0.000938378
0.042332403,2.213989003,-62.85508071,-42.73052401,-31.67568141,-1.608397174,,,0.036491252,0.222711992,-1.3465E-05,-0.000938282,0.000938378
0.042332403,2.165962381,-62.95165158,-44.54180395,-32.24803666,-1.584302468,,,0.038091747,0.547456534,-3.01235E-05,-0.002206924,0.002207129
0.042431709,1.641178071,-60.55698043,-61.93846994,-36.74863511,-1.199586901,,,0.038091747,0.547456534,-3.01235E-05,-0.002206924,0.002207129
0.042431709,1.59315145,-60.14373443,-63.27269702,-37.02492943,-1.159105428,,,0.038091747,0.499837486,-2.79674E-05,-0.00202788,0.002028073
0.042455041,2.02312582,-62.83781402,-49.74554782,-33.77500855,-1.501221571,,,0.038091747,0.452218438,-2.57596E-05,-0.001846451,0.001846631
0.042455041,1.975099198,-62.6856026,-51.42452401,-34.23303798,-1.467516286,,,0.038091747,0.404599391,-2.34902E-05,-0.00166264,0.001662806
0.042503413,1.832180254,-61.9689699,-56.18268106,-35.44549529,-1.359778739,,,0.038091747,0.404599391,-2.34902E-05,-0.00166264,0.001662806
0.042503413,1.784153632,-61.65505306,-57.69671939,-35.80553173,-1.320884007,,,0.039288633,0.735170234,-3.94886E-05,-0.002889137,0.002889407
0.042936645,3.551447036,1.515756808,-1.47305334,0.012811041,-0.414044257,,,0.039288633,0.735170234,-3.94886E-05,-0.002889137,0.002889407
0.042936645,3.503420414,-3.605056891,-1.982935632,-1.676397757,-0.496419767,,,0.039288633,0.687551186,-3.73896E-05,-0.002719713,0.00271997
0.044357041,3.746166862,24.08725612,-0.26160757,7.147694566,-0.142424806,,,0.039288633,0.639932139,-3.52705E-05,-0.002547795,0.00254804
0.044357041,3.69814024,18.28436901,-0.447428211,5.351082241,-0.201346007,,,0.039288633,0.592313091,-3.31238E-05,-0.002373426,0.002373657
0.045300598,0.351732602,-45.1682058,-84.32857215,-38.84903338,-0.458086228,,,0.039288633,0.592313091,-3.31238E-05,-0.002373426,0.002373657
0.045300598,0.240616897,-43.12107874,-85.43772995,-38.56764261,-0.449725953,,,0.041243767,0.925012255,-5.01603E-05,-0.003538835,0.00353919
0.047287469,0.531546582,-48.04104398,-82.44013115,-39.14435254,-0.523233068,,,0.041243767,0.925012255,-5.01603E-05,-0.003538835,0.00353919
0.047287469,0.420430878,-46.32173466,-83.62810099,-38.98495069,-0.491131403,,,0.041243767,0.877393207,-4.79758E-05,-0.003379903,0.003380244
0.047939759,0.095509811,-40.02896281,-86.8935551,-38.07675537,-0.490621152,,,0.041243767,0.829774159,-4.57949E-05,-0.003218239,0.003218564
0.047939759,0.04748319,-38.87861761,-87.39032468,-37.88068269,-0.502903408,,,0.041243767,0.782155112,-4.36126E-05,-0.003053912,0.003054223
0.0480877,3.95251681,50.11244715,-0.000415791,15.03360941,-0.002957174,,,0.041243767,0.782155112,-4.36126E-05,-0.003053912,0.003054223
0.0480877,3.904490189,43.95118859,-0.010156224,13.18230971,-0.018509229,,,0.041317417,1.115942802,-5.91481E-05,-0.004146989,0.004147411
0.048773294,0.71859339,-50.62156669,-80.22448005,-39.25381402,-0.623560873,,,0.041317417,1.115942802,-5.91481E-05,-0.004146989,0.004147411
0.048773294,0.607477686,-49.12894856,-81.58016785,-39.21273492,-0.569700526,,,0.041317417,1.068323754,-5.69034E-05,-0.003999851,0.004000256
0.051200416,0.908282316,-52.96396021,-77.58968051,-39.16609221,-0.776283176,,,0.041317417,1.020704706,-5.46776E-05,-0.003849635,0.003850024
0.051200416,0.797166611,-51.61758598,-79.18952606,-39.24213361,-0.701339306,,,0.041317417,0.973085659,-5.24679E-05,-0.003696436,0.003696809
0.051291847,1.099322549,-55.14660944,-74.42461208,-38.87136645,-0.927886035,,,0.041317417,0.973085659,-5.24679E-05,-0.003696436,0.003696809
0.051291847,0.988206845,-53.89481864,-76.33339393,-39.06846377,-0.837469463,,,0.041873532,1.306644148,-6.92817E-05,-0.004703441,0.004703951
0.051982213,1.29007825,-57.19444223,-70.66509885,-38.35786232,-1.114539628,,,0.041873532,1.306644148,-6.92817E-05,-0.004703441,0.004703951
0.051982213,1.178962546,-56.0163451,-72.93329544,-38.68489216,-1.010722725,,,0.041873532,1.2590251,-6.69139E-05,-0.00456964,0.00457013
0.052233124,3.008727137,-43.25835504,-12.83881138,-16.82914993,-1.63916011,,,0.041873532,1.211406053,-6.45704E-05,-0.004432349,0.004432819
0.052233124,2.897611432,-48.80254992,-16.51341484,-19.59478943,-1.803930173,,,0.041873532,1.163787005,-6.22509E-05,-0.004291675,0.004292127
0.0522389,2.81786134,-52.09432022,-19.34546946,-21.4319369,-1.897892717,,,0.041873532,1.163787005,-6.22509E-05,-0.004291675,0.004292127
0.0522389,2.706745635,-55.8047772,-23.49557902,-23.79010687,-1.993478708,,,0.04207565,2.881587411,-0.000107682,-0.006634025,0.006634898
0.052344507,2.627073056,-57.8950896,-26.57471842,-25.34094241,-2.041450596,,,0.04207565,2.881587411,-0.000107682,-0.006634025,0.006634898
0.052344507,2.515957351,-60.10761766,-30.94789723,-27.31665447,-2.070219049,,,0.04207565,2.929206458,-0.000103934,-0.006620946,0.006621761
0.05236117,3.199799086,-30.89888995,-7.470010121,-11.51067002,-1.279111477,,,0.04207565,2.976825506,-9.95875E-05,-0.006606038,0.006606789
0.05236117,3.088683381,-38.53459264,-10.43138408,-14.68979302,-1.501792841,,,0.04207565,3.024444553,-9.46179E-05,-0.00658975,0.00659043
0.052514478,2.436273545,-61.24961892,-34.10278485,-28.60572113,-2.076224213,,,0.04207565,3.024444553,-9.46179E-05,-0.00658975,0.00659043
0.052514478,2.32515784,-62.31076719,-38.47298301,-30.23512506,-2.048814675,,,0.042080303,2.690797378,-0.000117273,-0.006660107,0.006661139
0.052539771,1.481108967,-59.10480386,-66.22893448,-37.6001215,-1.31851074,,,0.042080303,2.690797378,-0.000117273,-0.006660107,0.006661139
0.052539771,1.369993262,-58.0130119,-68.89484736,-38.07235778,-1.205333146,,,0.042080303,2.738416426,-0.000115638,-0.006658265,0.006659269
0.052695952,3.391315429,-14.7604737,-3.55112568,-5.493479813,-0.859413109,,,0.042080303,2.786035474,-0.00011352,-0.006653093,0.006654061
0.052695952,3.280199724,-24.5816855,-5.63512387,-9.065042811,-1.111475357,,,0.042080303,2.833654521,-0.00011089,-0.00664492,0.006645845
0.05270222,2.245410941,-62.74449108,-41.55928571,-31.29113304,-2.019977905,,,0.042080303,2.833654521,-0.00011089,-0.00664492,0.006645845
0.05270222,2.134295237,-62.96879865,-45.74813819,-32.61508105,-1.950537193,,,0.042165373,2.500069785,-0.000119854,-0.006628604,0.006629688
0.052825853,1.672261385,-60.80398438,-61.07489348,-36.56366336,-1.525828484,,,0.042165373,2.500069785,-0.000119854,-0.006628604,0.006629688
0.052825853,1.56114568,-59.84850809,-64.15954087,-37.20241469,-1.409236678,,,0.042165373,2.547688833,-0.000119839,-0.006642783,0.006643864
0.0528549,2.05445296,-62.90109311,-48.6578224,-33.46767465,-1.89501506,,,0.042165373,2.59530788,-0.000119465,-0.006652622,0.006653694
0.0528549,1.943337255,-62.54970454,-52.5403719,-34.52702293,-1.797903166,,,0.042165373,2.642926928,-0.000118702,-0.006658326,0.006659384
0.052915122,1.863392415,-62.14591487,-55.20164367,-35.20426756,-1.723632683,,,0.042165373,2.642926928,-0.000118702,-0.006658326,0.006659384
0.052915122,1.75227671,-61.42031693,-58.70241966,-36.03682098,-1.611590011,,,0.042178795,3.072543506,-8.91607E-05,-0.006572416,0.006573021
0.053398149,0.366882354,-45.42796991,-84.18475131,-38.88381637,-0.542550495,,,0.042178795,3.072543506,-8.91607E-05,-0.006572416,0.006573021
0.053454479,3.583879368,5.065063398,-1.182288243,1.164832546,-0.44931653,,,0.042178795,3.120162554,-8.28586E-05,-0.006554814,0.006555338
0.053454479,3.472763663,-6.788067385,-2.361780974,-2.744954508,-0.686341008,,,0.042178795,3.167781601,-7.58743E-05,-0.00653733,0.00653777
0.055044786,0.407037837,-46.10092289,-83.77639362,-38.96319495,-0.568155577,,,0.042178795,3.215400649,-6.81966E-05,-0.006520502,0.006520858
0.055222817,3.779638722,28.1924041,-0.168177511,8.407267978,-0.132748539,,,0.042178795,3.215400649,-6.81966E-05,-0.006520502,0.006520858
0.055222817,3.668523017,14.75792072,-0.596891219,4.24830885,-0.301449562,,,0.04230229,2.452190291,-0.000119925,-0.006609828,0.006610916
0.055639454,0.546109084,-48.25142828,-82.28984177,-39.16238102,-0.621578928,,,0.04230229,2.452190291,-0.000119925,-0.006609828,0.006610916
0.056870845,0.592258839,-48.91201507,-81.7684386,-39.2041361,-0.656611246,,,0.04230229,2.404571244,-0.000119307,-0.006586432,0.006587512
0.057540902,0.73302108,-50.80272363,-80.05289763,-39.25668638,-0.744693024,,,0.04230229,2.356952196,-0.000118416,-0.006558239,0.006559308
0.058644942,0.229798345,-42.90830847,-85.56031476,-38.54058697,-0.58204017,,,0.04230229,2.309333148,-0.000117279,-0.00652515,0.006526204
0.059552402,0.781360513,-51.41470868,-79.41837241,-39.24992433,-0.804146583,,,0.04230229,2.309333148,-0.000117279,-0.00652515,0.006526204
0.059683164,0.010122867,-37.93832647,-87.79825375,-37.72097407,-0.641188672,,,0.042322665,1.497567029,-7.98452E-05,-0.00520267,0.005203283
0.059683164,0.121238571,-40.61957454,-86.64487323,-38.17933433,-0.604424432,,,0.042322665,1.497567029,-7.98452E-05,-0.00520267,0.005203283
0.059867345,3.878761429,40.65906871,-0.023611912,12.19063704,-0.039878267,,,0.042322665,1.449947981,-7.73659E-05,-0.005083981,0.00508457
0.059867345,3.989877133,54.91970014,4.97471E-05,16.47592497,0.000527089,,,0.042322665,1.402328934,-7.49046E-05,-0.004961352,0.004961917
0.059983681,0.922806593,-53.12828261,-77.38436031,-39.15379288,-0.921564728,,,0.042322665,1.354709886,-7.24643E-05,-0.004834897,0.00483544
0.060059455,0.972265935,-53.70404254,-76.60807647,-39.0936357,-0.966047048,,,0.042322665,1.354709886,-7.24643E-05,-0.004834897,0.00483544
0.06019333,1.11389469,-55.29916204,-74.17778103,-38.84308292,-1.10328959,,,0.042448474,3.263857577,-6.00469E-05,-0.006504713,0.006504991
0.060765478,1.163118223,-55.83634439,-73.25763666,-38.72819431,-1.164596763,,,0.042448474,3.263857577,-6.00469E-05,-0.006504713,0.006504991
